Time (s),Temperature (K),Pressure (Pa)
0.0,0.0,0.0
7.353253463946158e-12,999.9999999998594,80751072.25196858
2.5394514688270732e-11,999.9999999997909,80751072.25195022
3.923949629962669e-11,999.9999999996617,80751072.25192603
5.6545723313821637e-11,999.9999999995625,80751072.25190364
7.385195032801661e-11,999.9999999994493,80751072.25187995
8.423568653653358e-11,999.9999999993686,80751073.99807753
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
8.423568653653358e-11,999.9999999993686,80751072.25186443
1.6730557620466937e-10,999.999999998896,80751070.50554495
1.6730557620466937e-10,999.999999998896,80751072.32991742
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.33107834
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,999.999999998896,80751072.251758
1.6730557620466937e-10,1000.0000149000572,80751074.25408699
8.607333120831509e-10,999.9999999948085,80751070.50463936
8.607333120831509e-10,999.9999999948085,80751072.32901183
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.33017276
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,999.9999999948085,80751072.2508524
8.607333120831509e-10,1000.0000148959697,80751074.25318144
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
2.9024920607130785e-09,999.9999999833901,80751072.24825978
5.737603902329531e-09,999.9999999683001,80751072.24474767
8.676891943074765e-09,999.9999999537112,80751072.27529088
8.676891943074765e-09,999.9999999537112,80751072.30128905
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.84211913
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
8.676891943074765e-09,999.9999999537112,80751072.24122949
1.1616179983819997e-08,999.999999940142,80751072.23782936
2.128077632528599e-08,999.9999999028151,80751073.97370745
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
2.128077632528599e-08,999.9999999028151,80751072.22749437
