Time (s),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.353253463946158e-12,0.04999999999998627,1.0497313469389017e-14,6.202482103515939e-19,0.09999999999995803,2.0890820829320677e-16,0.8000000000000026,4.2322156567479644e-14,7.268298135579816e-21,1.0052410727560294e-47,2.4926771883203416e-34,5.367668180957447e-32,2.3641545623715892e-30,2.482134343138009e-14,0.14999999999997568,3.3070395934434837e-20,0.8500000000000029,1.341900141345393e-30,4.316418228635179e-21,1.9893195819495882e-32,3.9901416450908678e-22,1.4727563862447592e-25,2.1545536316616106e-70,3.5724061149262366e-50,7.442842995496572e-48,9.251640692237484e-35,8.46082218225605e-31,1.7561078572239413e-28,2.790283579904842e-53,2.4818147611863355e-43,7.510679616297262e-69,5.521225788787044e-36,2.0502935023847166e-37,1.4804921591425827e-44,2.2978314490262335e-50,3.394272870453389e-21,3.0500126807552456e-33,4.913002126155694e-46,1.5105170284774704e-24,6.009762713833515e-43,2.017701923019161e-52,2.8723163143117117e-41,3.4936191798815443e-51,2.5392340638602676e-36,5.739658750551737e-66,9.311543552356048e-58,4.304238351311875e-37,3.0438549103719988e-33,0.05000000000000017,0.0,1.8414371513941826e-51,4.941540488388295e-47,6.72889674047115e-51,3.625452563308352e-50
2.5394514688270732e-11,0.04999999999995412,6.298929148466911e-15,7.60451478116734e-18,0.09999999999982809,7.230049072536344e-16,0.8000000000000327,1.7607515483914653e-13,8.640124166612663e-20,2.600455840509998e-46,2.5579552910482434e-33,1.1970697084554628e-29,1.1023322681683084e-29,8.575713360212185e-14,0.14999999999992047,4.053901766527907e-19,0.8500000000000353,3.653681456676902e-29,5.1483166672228565e-20,6.223198468092127e-31,4.752237253451358e-21,4.174416793878967e-24,8.200333536065266e-67,2.2166932047908104e-48,2.587764247764223e-46,1.1888679905762388e-32,2.400846165230584e-29,4.985373950608519e-27,1.2047347983175038e-51,1.2611552256681915e-41,9.087314246827762e-63,6.427017289019301e-35,3.152205271960469e-36,8.329344933611159e-41,6.81607312603654e-45,4.0967392368284667e-19,1.05811767739192e-32,5.962127692581565e-45,5.224202359475364e-24,3.38043306337877e-39,4.993965098675158e-51,3.93420869618e-40,1.683841819515338e-47,3.332155654927853e-35,1.7163822541199463e-62,5.546405372789133e-56,5.1323735161372415e-36,1.0508325321001849e-32,0.050000000000002084,0.0,2.081973445451685e-47,5.5500247969241106e-43,5.697481007394645e-47,4.68031622526678e-46
3.923949629962669e-11,0.049999999999929025,1.1384519514343908e-14,1.1412239085674867e-17,0.09999999999973581,1.1098169018464277e-15,0.8000000000000492,2.704272469806703e-13,2.1554864864202153e-19,5.7732991789923485e-46,4.25875274494741e-33,9.289968232964449e-29,-2.2787912452360445e-28,1.3251126902593406e-13,0.1499999999998769,6.104125707112244e-19,0.8500000000000532,1.3021825124902659e-28,1.2294463310542373e-19,2.598973691861828e-30,1.1333768939957328e-20,1.5152950818318445e-23,9.173131105445688e-66,1.3252636413153686e-47,1.1428778599687606e-45,6.029613162159139e-32,8.722099528650936e-29,1.8115288125964112e-26,8.038138013719323e-51,5.613551885908244e-41,5.209395618836429e-62,1.927844076677486e-34,1.5056916550193227e-35,3.0452948905992387e-40,6.659722488083759e-44,2.6250977332574106e-19,1.6454369928148327e-32,1.446343664968584e-44,8.084310770482086e-24,1.2359577270486153e-38,1.0431831544426293e-50,1.1661396797695877e-39,1.0078800569282387e-46,9.69908502993671e-35,1.8774607915191228e-61,1.7697603137899425e-55,1.2252052132207293e-35,1.6233093406018942e-32,0.050000000000003146,0.0,1.730687211396353e-46,4.594122181834667e-42,4.591410341811389e-46,4.593375007567628e-45
5.6545723313821637e-11,0.049999999999897994,1.09905523785012e-14,1.7374864623425215e-17,0.09999999999961444,1.5882375274561993e-15,0.8000000000000753,3.9511383839082744e-13,4.562908322326553e-19,1.298080394497348e-45,6.550497935438458e-33,1.1178869014638653e-28,1.056368993433655e-28,1.9096336493283693e-13,0.14999999999982339,9.323583286888469e-19,0.8500000000000814,3.779163306216059e-28,2.553438058211661e-19,6.369782032109175e-30,2.3500273024262092e-20,4.5043419376756245e-23,8.14016208742006e-65,6.320122495687902e-47,3.7170234984091024e-45,2.4761683099303565e-31,2.595092661704083e-28,5.39134656536615e-26,2.304045765003148e-50,2.7090279153709306e-40,3.143935013501318e-61,4.359695460523983e-34,3.3548991305993243e-35,1.0634729359638183e-39,3.368696295083901e-43,2.945300961307526e-19,2.3883626360558518e-32,3.0646148157872054e-44,1.1670568240627416e-23,4.3162825154100496e-38,2.2740794335327464e-50,2.7029052892525295e-39,5.199895421050391e-46,2.18612190876603e-34,8.102119890716032e-61,5.7557582197090594e-55,2.5436986738316807e-35,2.3384763472621505e-32,0.05000000000000481,0.0,1.0653570717150588e-45,2.813221896889678e-41,2.737252571194285e-45,2.941062547775329e-44
7.385195032801661e-11,0.04999999999986688,1.213431997573216e-14,2.3017001146807826e-17,0.09999999999949442,2.058862389002704e-15,0.8000000000001,5.182708319527628e-13,7.874303795594539e-19,2.0665420125373522e-45,8.858006150588019e-33,4.269969763979989e-28,-7.048417258379565e-28,2.494152827542772e-13,0.14999999999976965,1.2394166806850682e-18,0.8500000000001083,8.19627581851222e-28,4.356176466229036e-19,1.5194824273079098e-29,4.002513094683814e-20,1.0006079242006537e-22,4.19420252942731e-64,2.1004892155465936e-46,8.680046535585321e-45,7.066440865693112e-31,5.770082378983796e-28,1.1990809040736002e-25,6.850078834691228e-50,6.2217261397703605e-40,1.1149350007405027e-60,7.79696238539023e-34,6.261919458411933e-35,2.5335227768177667e-39,1.0815891329283434e-42,2.4872535282571744e-19,3.142657795239895e-32,5.334505554292548e-44,1.5269851978468326e-23,1.02829698525696e-37,3.8344733485224805e-50,4.8946710512591984e-39,1.5185751615681953e-45,3.8479486269908233e-34,2.9146692400135285e-60,1.2752042064942377e-54,4.3380436187964814e-35,3.0531669801730417e-32,0.05000000000000639,0.0,4.0534482388789716e-45,1.0646435669578779e-40,1.0107430864215427e-44,1.1514205694249657e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.3373821721982364e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,7.1632960548752165e-25,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.4101598298004913e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.2024600176641866e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,7.163307799191484e-25,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,7.163295952440915e-25,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188558371097917e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,7.163295952440915e-25,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,7.163295952440915e-25,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.163295952440915e-25,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
8.423568653653358e-11,0.049999999999848145,1.4211666979905403e-14,2.612882930402585e-17,0.09999999999942367,2.337382137368528e-15,0.8000000000001136,5.907787827174868e-13,1.0296707806080888e-18,2.462809599274599e-45,1.0243430173787185e-32,6.972470711474423e-28,-1.3961837507572452e-27,2.8448554820338026e-13,0.1499999999997372,1.410159113470896e-18,0.8500000000001232,1.1968884697785507e-27,5.667677331484642e-19,2.27402977458433e-29,5.202388384704662e-20,1.4817977951440614e-22,9.382919181804381e-64,3.831676263933178e-46,1.3130356476033072e-44,1.184675056916328e-30,8.549512888054432e-28,1.7769699440203657e-25,1.1248592540027164e-49,9.328371513986675e-40,2.0038687736171303e-60,1.0344711544269875e-33,8.670875204456465e-35,3.842018484477703e-39,1.901024564162957e-42,1.6188486738138394e-19,3.6009114826617905e-32,7.024032604226499e-44,1.7435712114981145e-23,1.559407331793015e-37,4.862019989493258e-50,6.524955995941896e-39,2.5644349238201745e-45,5.043670668876741e-34,5.108355281607526e-60,1.8432094391663622e-54,5.642932500979195e-35,3.4817528274564615e-32,0.05000000000000726,0.0,7.78451411592783e-45,2.0383111215127943e-40,1.909301886237194e-44,2.2371327178564916e-43
1.6730557620466937e-10,0.04999999999969912,1.2034789947949518e-14,5.4281360605989394e-17,0.09999999999884068,4.5345878782664385e-15,0.8000000000002387,1.1896394284523215e-12,3.409358157767535e-18,-1.9681138105360191e-29,-8.482292379517725e-29,5.309912041729781e-27,-1.8226007269077897e-26,5.650768427170123e-13,0.1499999999994805,2.9590645636081662e-18,0.8500000000002584,5.6079109095024906e-27,1.8535488976721644e-18,1.2116035037441153e-28,1.6944264344617474e-19,7.276513243335604e-22,-2.1356895096733103e-56,-6.016710058269239e-42,1.6963102894526824e-41,3.419332515680147e-29,4.206351325632752e-27,8.747896227904783e-25,8.357285603291325e-47,9.646680250434085e-39,3.578050682451096e-59,3.537985396599045e-33,2.8321471180368035e-34,2.0618083499879356e-38,1.4566775576881743e-41,2.5410609099766615e-19,7.315401030214358e-32,2.411107616476409e-43,3.4824854070805304e-23,8.368898375374932e-37,2.029949364683057e-40,4.9088424877256145e-36,2.1288773042382036e-44,3.826515055907818e-31,8.309778295751265e-59,9.585954792046852e-54,1.8439352805115857e-34,6.908079719282021e-32,0.05000000000001521,0.0,8.462996449431084e-44,1.9924664673118866e-39,2.904883636800351e-43,2.223596211959747e-42
1.6730557620466937e-10,0.04999999999969912,1.2034789947949518e-14,5.4281360605989394e-17,0.1000000014889568,4.5345878782664385e-15,0.8000000000002387,1.1896394284523215e-12,3.409358157767535e-18,-1.9681138105360191e-29,-8.482292379517725e-29,5.309912041729781e-27,-1.8226007269077897e-26,5.650768427170123e-13,0.1499999999994805,2.9590645636081662e-18,0.8500000000002584,5.6079109095024906e-27,1.8535488976721644e-18,1.2116035037441153e-28,1.6944264344617474e-19,7.276513243335604e-22,-2.1356895096733103e-56,-6.016710058269239e-42,1.6963102894526824e-41,3.419332515680147e-29,4.206351325632752e-27,8.747896227904783e-25,8.357285603291325e-47,9.646680250434085e-39,3.578050682451096e-59,3.537985396599045e-33,2.8321471180368035e-34,2.0618083499879356e-38,1.4566775576881743e-41,2.5410609099766615e-19,7.315401030214358e-32,2.411107616476409e-43,3.4824854070805304e-23,8.368898375374932e-37,2.029949364683057e-40,4.9088424877256145e-36,2.1288773042382036e-44,3.826515055907818e-31,8.309778295751265e-59,9.585954792046852e-54,1.8439352805115857e-34,6.908079719282021e-32,0.05000000000001521,0.0,8.462996449431084e-44,1.9924664673118866e-39,2.904883636800351e-43,2.223596211959747e-42
