Time (s),Temperature (K),Pressure (Pa)
0.0,0.0,0.0
1.141441023587072e-14,1999.9999995637477,145848348.6137366
9.131528188696576e-14,1999.9999965169245,145848348.3739338
7.76179896039209e-13,1999.9999709482418,145848346.3374766
2.9167201786398845e-12,1999.9998969378717,145848340.177608
5.785098295464776e-12,1999.9998100069329,145848332.34857497
9.608383869837247e-12,1999.9997117964226,145848322.52684256
1.5343312231395955e-11,1999.9995927184998,145848308.7759462
2.036905443080102e-11,1999.9995081277536,145848297.41310155
2.6011208476113575e-11,1999.9994281505858,145848285.17879882
3.106731774230103e-11,1999.9993658832648,145848274.5434163
3.865148164158222e-11,1999.9992836816346,145848258.98226023
4.7950371118578196e-11,1999.9991946605899,145848240.31640488
5.472120596248044e-11,1999.999135072151,145848226.91024214
6.48774582283338e-11,1999.9990511731935,145848206.99671984
7.164829307223605e-11,1999.998997972922,145848193.81934997
8.325347690442014e-11,1999.9989107490592,145848171.37706593
9.147324331465311e-11,1999.9988515665962,145848155.5762126
1.0443241282851695e-10,1999.9987621461412,145848130.8068827
1.1391121903577872e-10,1999.9986995514337,145848115.57191446
1.1391121903577872e-10,1999.9986995514337,145848112.79253608
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253608
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1391121903577872e-10,1999.9986995514337,145848112.79253605
1.1821286334380206e-10,1999.998671899025,145848104.644894
1.1627084248392016e-10,1999.998684325611,145848108.3576056
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848109.26965308
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.998684325611,145848108.3211323
1.1627084248392016e-10,1999.9986843267518,145848108.32117173
1.3606366007496274e-10,1999.9985619642391,145848071.010084
1.5252168388557608e-10,1999.9984672432977,145848040.2415353
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.064288
1.790738732115004e-10,1999.9983271568697,145847991.06429008
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.790738732115004e-10,1999.9983271568697,145847991.0642879
1.9764879362479098e-10,1999.9982380455276,145847956.9834068
2.1622371403808155e-10,1999.998155895665,145847923.1534307
2.3769953299655306e-10,1999.9980692151128,145847887.11742964
2.3769953299655306e-10,1999.9980692151128,145847884.33805665
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805665
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.3769953299655306e-10,1999.9980692151128,145847884.33805656
2.8645296800385785e-10,1999.9979034192409,145847797.32665676
